C:\Users\ryuno\OneDrive\Desktop\drift-analysis>python drift_analysis.py
Encoder target = 100

======================================================================
FORWARD DRIFT TABLE
(drift = abs(encoder reading) - encoder target)
======================================================================
   Speed |   ENC1 Drift |   ENC2 Drift
----------------------------------------------------------------------
      42 |         -100 |         -100
      43 |           -1 |            3
      44 |           -3 |            2
      45 |            0 |            4
      46 |            0 |            4
      47 |            0 |            4
      48 |            1 |            5
      49 |           -1 |            5
      50 |            0 |            5
      51 |           -1 |            6
      52 |            2 |            6
      53 |            2 |            6
      54 |            3 |            5
      55 |            2 |            6
      56 |            3 |            7
      57 |            2 |            7
      60 |            4 |            8
      61 |            3 |            8
      62 |            4 |            9
      63 |            5 |            9
      64 |            6 |            9
      65 |            6 |            9
      66 |            4 |           10
      67 |            6 |           10
      68 |            5 |           10
      69 |            6 |           10
      70 |            6 |           11
      71 |            9 |           11
      72 |            7 |           12
      73 |            8 |           12
      74 |            9 |           13
      75 |           10 |           14
      76 |           10 |           13
      77 |           10 |           13
      78 |            9 |           14
      79 |           11 |           15
      80 |           11 |           14
      81 |           10 |           15
      82 |           11 |           15
      83 |           10 |           16
      84 |           13 |           15
      85 |           11 |           16
      86 |           12 |           15
      87 |           14 |           17
      88 |           13 |           17
      89 |           13 |           17
      90 |           12 |           16
      91 |           14 |           17
      92 |           13 |           18
      93 |           11 |           17
      94 |           14 |           17
      95 |           15 |           18
      96 |           15 |           19
      97 |           15 |           19
      98 |           15 |           20
      99 |           17 |           20
     100 |           17 |           20
     101 |           16 |           20
     102 |           18 |           20
     103 |           17 |           20
     104 |           15 |           21
     105 |           18 |           21
     106 |           18 |           21
     107 |           16 |           21
     108 |           18 |           22
     109 |           19 |           22
     110 |           19 |           23
     111 |           20 |           23
     112 |           20 |           23
     113 |           19 |           24
     114 |           21 |           25
     115 |           22 |           24
     116 |           20 |           24
     117 |           20 |           24
     118 |           21 |           24
     119 |           22 |           25
     120 |           21 |           25
     121 |           21 |           25
     122 |           22 |           26
     123 |           20 |           25
     124 |           22 |           26
     125 |           23 |           27
     126 |           24 |           27
     127 |           23 |           28
     128 |           23 |           27
     129 |           23 |           28
     130 |           24 |           27
     131 |           22 |           26
     132 |           24 |           28
     133 |           25 |           29
     134 |           25 |           29
     135 |           27 |           30
     136 |           26 |           29
     137 |           26 |           29
     138 |           27 |           31
     139 |           26 |           30
     140 |           27 |           31
     141 |           25 |           30
     142 |           27 |           32
     143 |           28 |           31
     144 |           28 |           31
     145 |           26 |           31
     146 |           28 |           31
     147 |           29 |           32
     148 |           30 |           32
     149 |           31 |           33
     150 |           31 |           33
     151 |           31 |           34
     152 |           31 |           34
     153 |           31 |           35
     154 |           31 |           34
     155 |           30 |           34
     156 |           28 |           33
     157 |           32 |           34
     158 |           31 |           35
     159 |           34 |           35
     160 |           34 |           36
     161 |           33 |           35
     162 |           33 |           35
     163 |           32 |           36
     164 |           32 |           35
     165 |           34 |           35
     166 |           34 |           36
     167 |           31 |           37
     168 |           35 |           37
     169 |           36 |           37
     170 |           34 |           38
     171 |           35 |           39
     172 |           37 |           38
     173 |           36 |           39
     174 |           35 |           39
     175 |           34 |           38
     176 |           36 |           39
     177 |           36 |           37
     178 |           35 |           39
     179 |           36 |           39
     180 |           40 |           40
     181 |           37 |           40
     182 |           36 |           40
     183 |           39 |           40
     184 |           40 |           41
     185 |           38 |           40
     186 |           37 |           41
     187 |           37 |           41
     188 |           39 |           41
     189 |           42 |           41
     190 |           39 |           42
     191 |           39 |           42
     192 |           39 |           42
     193 |           43 |           42
     194 |           40 |           42
     195 |           38 |           42
     196 |           40 |           43
     197 |           41 |           42
     198 |           43 |           44
     199 |           43 |           43
     200 |           43 |           44
     201 |           39 |           43
     202 |           43 |           44
     203 |           44 |           44
     204 |           42 |           43
     205 |           44 |           44
     206 |           43 |           44
     207 |           43 |           43
     208 |           42 |           44
     209 |           43 |           45
     210 |           44 |           45
     211 |           47 |           45
     212 |           45 |           45
     213 |           43 |           43
     214 |           43 |           44
     215 |           44 |           45
     216 |           48 |           47
     217 |           46 |           46
     218 |           47 |           46
     219 |           46 |           46
     220 |           48 |           46
     221 |           45 |           44
     222 |           46 |           46
     223 |           47 |           46
     224 |           48 |           47
     225 |           46 |           43
     226 |           48 |           45
     227 |           49 |           47
     228 |           49 |           49
     229 |           48 |           47
